date_match,contests,home_team,home_score,away_score,away_team,liverpool_score,at_anfield,season,rest_days
2016-08-14,English Premier League,Arsenal FC ,3,4,Liverpool,V,False,2016 - 2017,7
2016-08-20,English Premier League,Burnley FC ,2,0,Liverpool,D,False,2016 - 2017,6
2016-08-27,English Premier League,Tottenham Hotspur ,1,1,Liverpool,N,False,2016 - 2017,4
2016-09-10,English Premier League,Liverpool ,4,1,Leicester,V,True,2016 - 2017,14
2016-09-16,English Premier League,Chelsea ,1,2,Liverpool,V,False,2016 - 2017,6
2016-09-24,English Premier League,Liverpool ,5,1,Hull,V,True,2016 - 2017,4
2016-10-01,English Premier League,Swansea City ,1,2,Liverpool,V,False,2016 - 2017,7
2016-10-17,English Premier League,Liverpool ,0,0,Manchester,N,True,2016 - 2017,16
2016-10-22,English Premier League,Liverpool ,2,1,West,V,True,2016 - 2017,5
2016-10-29,English Premier League,Crystal Palace FC ,2,4,Liverpool,V,False,2016 - 2017,4
2016-11-06,English Premier League,Liverpool ,6,1,Watford,V,True,2016 - 2017,8
2016-11-19,English Premier League,FC Southampton ,0,0,Liverpool,N,False,2016 - 2017,13
2016-11-26,English Premier League,Liverpool ,2,0,AFC,V,True,2016 - 2017,7
2016-12-04,English Premier League,AFC Bournemouth ,4,3,Liverpool,D,False,2016 - 2017,5
2016-12-11,English Premier League,Liverpool ,2,2,West,N,True,2016 - 2017,7
2016-12-14,English Premier League,Middlesbrough ,0,3,Liverpool,V,False,2016 - 2017,3
2016-12-19,English Premier League,Everton FC ,0,1,Liverpool,V,False,2016 - 2017,5
2016-12-27,English Premier League,Liverpool ,4,1,Stoke,V,True,2016 - 2017,8
2016-12-31,English Premier League,Liverpool ,1,0,Manchester,V,True,2016 - 2017,4
2017-01-02,English Premier League,AFC Sunderland ,2,2,Liverpool,N,False,2016 - 2017,2
2017-01-15,English Premier League,Manchester United ,1,1,Liverpool,N,False,2016 - 2017,4
2017-01-21,English Premier League,Liverpool ,2,3,Swansea,D,True,2016 - 2017,3
2017-01-31,English Premier League,Liverpool ,1,1,Chelsea,N,True,2016 - 2017,3
2017-02-04,English Premier League,Hull City ,2,0,Liverpool,D,False,2016 - 2017,4
2017-02-11,English Premier League,Liverpool ,2,0,Tottenham,V,True,2016 - 2017,7
2017-02-27,English Premier League,Leicester City ,3,1,Liverpool,D,False,2016 - 2017,16
2017-03-04,English Premier League,Liverpool ,3,1,Arsenal,V,True,2016 - 2017,5
2017-03-12,English Premier League,Liverpool ,2,1,Burnley,V,True,2016 - 2017,8
2017-03-19,English Premier League,Manchester City ,1,1,Liverpool,N,False,2016 - 2017,7
2017-04-01,English Premier League,Liverpool ,3,1,Everton,V,True,2016 - 2017,13
2017-04-05,English Premier League,Liverpool ,2,2,AFC,N,True,2016 - 2017,4
2017-04-08,English Premier League,Stoke City FC ,1,2,Liverpool,V,False,2016 - 2017,3
2017-04-16,English Premier League,West Bromwich Albion FC ,0,1,Liverpool,V,False,2016 - 2017,8
2017-04-23,English Premier League,Liverpool ,1,2,Crystal,D,True,2016 - 2017,7
2017-05-01,English Premier League,Watford ,0,1,Liverpool,V,False,2016 - 2017,8
2017-05-07,English Premier League,Liverpool ,0,0,FC,N,True,2016 - 2017,6
2017-05-14,English Premier League,West Ham United ,0,4,Liverpool,V,False,2016 - 2017,7
2017-05-21,English Premier League,Liverpool ,3,0,Middlesbrough,V,True,2016 - 2017,7
